description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"@Jorricks thank you for the kind words. I agree, SLAs could/should be made more efficient. I found this change easier/simpler to make & test, possibly because it's a problem I've tackled many times in my ""real"" job. Also, as you note, I think this change defends against a range of possible problems, rather than just SLAs. I may try to improve SLA firing in the future, but I will be upfront about my motivations; I'm not looking to be ""The SLA guy"", as I simply don't have the spare time. If I end…",,,,,,Anecdotal,comment,,,,,,,,2022-08-10,github/argibbs,https://github.com/apache/airflow/pull/25489#issuecomment-1211303956,repo: apache/airflow | issue: Dag processor manager queue split (fixes SLAs) | keyword: lesson learned
"[webui] DAG Backfills broken on Firefox ### Apache Airflow version 3.0.4 ### If ""Other Airflow 2 version"" selected, which one? _No response_ ### What happened? the DAG backfill ui doesn't work on firefox browser(desktop). on firefox(desktop) we only have date picker. no timer picker ### What you think should happen instead? make the ui work. if not, there should be kind of notification for supported browser or workaround for the unsupported bowsers ### How to reproduce after pick a date (from) …",,,,,,Anecdotal,issue,,,,,,,,2025-08-13,github/obarisk,https://github.com/apache/airflow/issues/54429,repo: apache/airflow | keyword: workaround | state: open
> [@hbc-acai](https://github.com/hbc-acai) were you ever able to figure out a workaround? I used the DELETE to temporarily work around the issue. Then we upgraded to 2.10.4 and the issue never happened again,,,,,,Anecdotal,comment,,,,,,,,2025-08-13,github/hbc-acai,https://github.com/apache/airflow/issues/45186#issuecomment-3185778577,repo: apache/airflow | issue: Task Runner Dails to Update rendered_task_instance_fields | keyword: workaround
"> UPD: import `Variable` from `airflow.models` instead of `airflow.sdk` fixes the problem but doesn't seem like a best practice solution. Yeah, that still works as it's falling back to the direct DB access based approach",,,,,,Anecdotal,comment,,,,,,,,2025-06-18,github/ashb,https://github.com/apache/airflow/issues/51816#issuecomment-2984241505,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: workaround
"I'm really excited to hear that LocalStack is being added to Breeze! That said, I've seen many setups in the industry that combine Breeze with MinIO. I was wondering — was there a specific reason for choosing LocalStack over MinIO in this case? Was LocalStack chosen because other AWS services needed to be tested as well, beyond just S3?",,,,,,Anecdotal,comment,,,,,,,,2025-08-07,github/kyungjunleeme,https://github.com/apache/airflow/pull/54050#issuecomment-3162249011,repo: apache/airflow | issue: Add `localstack` Breeze integration | keyword: workaround
"> Honestly I don’t feel this is too worthwhile to fix. This is just a temporary glitch. Maybe somewhere down the line we can allow each dag bundle to set its refresh interval instead—and a bundle that’s cheap to refresh, such as a local directory, can simply set it very low, even 0. That's the plan of AIP-66 which still needs to be completed https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=294816356 But maybe a good (and simple) solution will be to have a possibility to ""clear"" …",,,,,,Anecdotal,comment,,,,,,,,2025-07-30,github/potiuk,https://github.com/apache/airflow/issues/45227#issuecomment-3136348513,repo: apache/airflow | issue: DAG Import Errors message is dangling in web-interface | keyword: workaround
[v3-0-test] Upgrade to prek 0.0.29 (#54621) This upgrades prek to **just released** 0.0.29 and removes the workaround implemented in #54613 to add build-essential to the image that is used to build distributions - because prek 0.0.29 comes with all the necessary binary wheels/platforms that remove the need to build in in our Linux ARM image (issue https://github.com/j178/prek/issues/451 has been fixed). (cherry picked from commit a4fa2182004034ca27d4d43b973fdd4de7f99d5a) <!-- Licensed to the Ap…,,,,,,Anecdotal,issue,,,,,,,,2025-08-18,github/potiuk,https://github.com/apache/airflow/pull/54624,repo: apache/airflow | keyword: workaround | state: closed
Upgrade to prek 0.0.29 This upgrades prek to **just released** 0.0.29 and removes the workaround implemented in #54613 to add build-essential to the image that is used to build distributions - because prek 0.0.29 comes with all the necessary binary wheels/platforms that remove the need to build in in our Linux ARM image (issue https://github.com/j178/prek/issues/451 has been fixed). <!-- Licensed to the Apache Software Foundation (ASF) under one or more contributor license agreements. See the N…,,,,,,Anecdotal,issue,,,,,,,,2025-08-18,github/potiuk,https://github.com/apache/airflow/pull/54621,repo: apache/airflow | keyword: workaround | state: closed
"@ashb looks like eager loading the attributes is the solution. Still need to implement and test this out to confirm that it works. Is there a reason why you want this in a separate PR? I would be eager loading attributes that are only used in this PR, so I thought it would be more appropriate to add that code in this PR itself. For example, `ti.dag_model.relative_fileloc` is one of the attributes I would be eager loading, and this attribute is directly used in the code I am adding in this PR.",,,,,,Anecdotal,comment,,,,,,,,2025-07-29,github/karenbraganz,https://github.com/apache/airflow/pull/53435#issuecomment-3133937981,repo: apache/airflow | issue: Allow failure callbacks for stuck in queued TIs that fail | keyword: workaround
"I was able to find a workaround for the `DetachedInstanceError` that does not involve eager loading. Right before the `TaskCallbackRequest` is created (where the error occurs), I added a condition to check whether the ti is detached. If it is, it will be merged into the session. I found that this prevents the issue from occurring without having to eager load any attributes. I have implemented this in my latest commit. Please let me know if there are any objections to this workaround.",,,,,,Anecdotal,comment,,,,,,,,2025-08-04,github/karenbraganz,https://github.com/apache/airflow/pull/53435#issuecomment-3152130914,repo: apache/airflow | issue: Allow failure callbacks for stuck in queued TIs that fail | keyword: workaround
"If you use the ""Token URL"" `api/v1/applications/token` then I think that will deal with the 404 at least, but instead I get a 401. I've created an issue https://github.com/airbytehq/airbyte-api-python-sdk/issues/112 to track, since the core problem seems to be from the airbyte-api SDK, rather than from the provider. Alternatively, the airbyte-api SDK _does_ seem to work with username/password auth, so possibly the change could still be made here in the provider, with the option to auth using us…",,,,,,Anecdotal,comment,,,,,,,,2024-11-20,github/amardatar,https://github.com/apache/airflow/issues/42520#issuecomment-2489072269,repo: apache/airflow | issue: [Airbyte] Airflow Airbyte provider 4.0 not allowing disabled auth and does not work with auth | keyword: workaround
"For those who are encountering this issue, a quickfix I did was to use the `apache-airflow-providers-airbyte` package version 3.0.0 instead of version >=4.0.0. With this version authentication is not necessary.",,,,,,Anecdotal,comment,,,,,,,,2025-06-23,github/NahidOulmi,https://github.com/apache/airflow/issues/42520#issuecomment-2996404050,repo: apache/airflow | issue: [Airbyte] Airflow Airbyte provider 4.0 not allowing disabled auth and does not work with auth | keyword: workaround
✅ Workaround to Resolve the Issue I implemented the following solution to restrict the /dag_stats endpoint to only return data for DAGs that a user has access to: ✅ Attach the Filter to Endpoint Dependencies I added the permission filter as a dependency to the FastAPI route using readable_dags_filter: ReadableDagsFilterDep. This ensures that only permitted DAGs are considered during the request lifecycle. ✅ Apply DAG Filter to All Queries I updated the queries inside the endpoint to filter by p…,,,,,,Anecdotal,comment,,,,,,,,2025-08-04,github/suhail-zemoso,https://github.com/apache/airflow/issues/53938#issuecomment-3150219985,repo: apache/airflow | issue: UI - Home screen does not filter based on logged in user's role's access to dags | keyword: workaround
"Resolve OOM When Reading Large Logs in Webserver related issue: #45079 related PR: #45129 related discussion on slack: https://apache-airflow.slack.com/archives/CCZRF2U5A/p1736767159693839 ## Why In short, this PR aims to eliminate OOM issues by: - Replacing full log sorting with a **K-Way Merge** - Making the entire log reading path **streamable** (using `yield` generators instead of returning a list of strings) More detailed reasoning is already described in the linked issue. Due to too many …",,,,,,Anecdotal,issue,,,,,,,,2025-04-20,github/jason810496,https://github.com/apache/airflow/pull/49470,repo: apache/airflow | keyword: workaround | state: closed
"> Nice, thanks for the benchmark, the memory improvement seems promising. > > Do you know why it looks like the total response time is much longer after refactoring? Is that inherent to the stream solution? Also I'm not sure we care that much because the user will be able to see logs after the first chunck retrieval, wich might still be faster. Yes, that's correct — the longer total response time is due to the use of [StreamingResponse](https://fastapi.tiangolo.com/advanced/custom-response/#str…",,,,,,Anecdotal,comment,,,,,,,,2025-06-02,github/jason810496,https://github.com/apache/airflow/pull/49470#issuecomment-2930184615,repo: apache/airflow | issue: Resolve OOM When Reading Large Logs in Webserver | keyword: workaround
"> Overall LGTM - I could imagine use cases of this trigger rule. For the long term, maybe we should think about changing the trigger rule mechanism so the definition could be more flexible instead of the hardcoded enum (e.g., this TR will be represented as something like `trigger_rule={'done': 'all', 'success': '>=1'}`). We can look into it after Airflow 3.1 if you have a proposal feel free to suggest it in the mailing list. I think this can be a good idea.",,,,,,Anecdotal,comment,,,,,,,,2025-08-01,github/eladkal,https://github.com/apache/airflow/pull/53959#issuecomment-3142199235,repo: apache/airflow | issue: Add ALL_DONE_MIN_ONE_SUCCESS trigger rule | keyword: workaround
"Currently assets are only shown as consumed if they are used in schedule, not inlets. I feel we might want to do some more thinking instead of just adding those. It’s probably best to have _three_ fields: producing (things that list the asset as outlet), consuming (list as inlet), and scheduled (list in schedule). Not sure about the names here. cc @bbovenzi for ideas.",,,,,,Anecdotal,comment,,,,,,,,2025-05-21,github/uranusjr,https://github.com/apache/airflow/issues/50873#issuecomment-2899480502,repo: apache/airflow | issue: Assets do not show up as consumed | keyword: gotcha
@ismailsimsek I made some changes to use mocking of the log attribute instead of caplog usage (which was breaking the tests). It's difficult to apply changes to a branch I don't own. I added three commits with the fixes (and some others stuff that's happened in main since). I don't think it applied cleanly. But you can look at the commits and update your branch accordingly if not!,,,,,,Anecdotal,comment,,,,,,,,2025-07-04,github/o-nikolas,https://github.com/apache/airflow/pull/46621#issuecomment-3034009768,repo: apache/airflow | issue: Add support for S3 dag bundle | keyword: gotcha
"FYI. @assignUser and @gopidesupavan -> seems that this is a well known ""feature"" of the `@v4` action that caused a number of users a problems when migrating to `@v4`. The proposed `solution` (which IMHO is just a workaround) is to upload each artifact with a different key and use ""merge-multiple"" feature and glob pattern to download and merge all such uploaded artifacts (!??!!#$@#%!%!$%!#%!).... This is even explained here: https://github.com/actions/download-artifact/blob/main/docs/MIGRATION.m…",,,,,,Anecdotal,comment,,,,,,,,2024-12-30,github/potiuk,https://github.com/apache/airflow/pull/45289#issuecomment-2565964463,repo: apache/airflow | issue: Improve caching strategy across the board of CI workflow | keyword: gotcha
"OK. @assignUser and @gopidesupavan -> I think I found a solution (and actually this is a better one in general for performance, but slightly more ""distributed"" among the .yml files. Instead of heaving a clear save/restore around installation, I only do: * restore * installl And I make sure to have one separate job that is prerequisite of all other jobs (`build-info` which was already there as a single job that kicks-off the rest - for uv cache and `install-pre-commit` that is added as ""needs"" f…",,,,,,Anecdotal,comment,,,,,,,,2024-12-30,github/potiuk,https://github.com/apache/airflow/pull/45289#issuecomment-2565985028,repo: apache/airflow | issue: Improve caching strategy across the board of CI workflow | keyword: gotcha
"> FYI. @assignUser and @gopidesupavan -> seems that this is a well known ""feature"" of the `@v4` action that caused a number of users a problems when migrating to `@v4`. The proposed `solution` (which IMHO is just a workaround) is to upload each artifact with a different key and use ""merge-multiple"" feature and glob pattern to download and merge all such uploaded artifacts (!??!!#$@#%!%!$%!#%!).... > > This is even explained here: https://github.com/actions/download-artifact/blob/main/docs/MIGRA…",,,,,,Anecdotal,comment,,,,,,,,2024-12-31,github/gopidesupavan,https://github.com/apache/airflow/pull/45289#issuecomment-2566094221,repo: apache/airflow | issue: Improve caching strategy across the board of CI workflow | keyword: gotcha
"> OK. @assignUser and @gopidesupavan -> I think I found a solution (and actually this is a better one in general for performance, but slightly more ""distributed"" among the .yml files. > > Instead of heaving a clear save/restore around installation, I only do: > > * restore > * installl > > And I make sure to have one separate job that is prerequisite of all other jobs (`build-info` which was already there as a single job that kicks-off the rest - for uv cache and `install-pre-commit` that is ad…",,,,,,Anecdotal,comment,,,,,,,,2024-12-31,github/gopidesupavan,https://github.com/apache/airflow/pull/45289#issuecomment-2566094564,repo: apache/airflow | issue: Improve caching strategy across the board of CI workflow | keyword: gotcha
"OK. I think i Implemented all workarounds to not have to wait for any of the `stash` action PRs I created, let's see what will be the savings now",,,,,,Anecdotal,comment,,,,,,,,2024-12-31,github/potiuk,https://github.com/apache/airflow/pull/45289#issuecomment-2566554693,repo: apache/airflow | issue: Improve caching strategy across the board of CI workflow | keyword: gotcha
"@harishkrao Hi. I improved the tests yesterday and I think now it will be easy to write the new test case to handle this sitution.. See: https://github.com/apache/airflow/pull/20095 Now all you have to do is add a test case here. https://github.com/apache/airflow/blob/545ca59ba9a0b346cbbf28cc6958f9575e5e6b0b/tests/providers/snowflake/hooks/test_snowflake.py#L76-L95 To build a URL, we shouldn't use `string.format`. Instead of it, we should use `snowflake.sqlalchemy.URL`. See: https://github.com/…",,,,,,Anecdotal,comment,,,,,,,,2021-12-08,github/mik-laj,https://github.com/apache/airflow/issues/20032#issuecomment-988647949,repo: apache/airflow | issue: Snowflake Provider - Hook's support for not providing a region is broken when using SQLAlchemy | keyword: pro tip
"Hi, here is an implementation of the suggested solution described, would it be possible to have it reviewed? There is a couple things (like that I am unable to run pytests for some reason) that should be addressed, but it is passing the tests that I have written. https://github.com/pandas-dev/pandas/pull/61157",,,,,,Anecdotal,comment,,,,,,,,2025-03-28,github/Jaspvr,https://github.com/pandas-dev/pandas/issues/60895#issuecomment-2762673242,"repo: pandas-dev/pandas | issue: Support for Storing and Retrieving Complex Data Types (e.g., Embeddings) in Pandas DataFrames | keyword: best practice"
"I like the idea. If I understand correctly, the main use of `df.filter(cond)` where cond is a `Series` will be equivalent to now use `df[cond]`. I think implementing the `like` and `regex` behaviors would be trivial with `df.filter(df[""col""].str.contains(""xxx""))` and same for `regex`, right? It does feel we're offering a very reasonable alternative. I see your point for using `.pipe` to filter, and in a way kind of agree. But it feels like `df.filter(lambda x: x[""age""] > 18)` will be together w…",,,,,,Anecdotal,comment,,,,,,,,2025-04-20,github/datapythonista,https://github.com/pandas-dev/pandas/issues/61317#issuecomment-2817212049,repo: pandas-dev/pandas | issue: ENH: Make DataFrame.filter accept filters in new formats | keyword: best practice
"> I think implementing the `like` and `regex` behaviors would be trivial with `df.filter(df[""col""].str.contains(""xxx""))` and same for `regex`, right? It does feel we're offering a very reasonable alternative. Agreed - I should have said no _new_ alternatives. :laughing: For UDFs, one reason not to have `df.filter(lambda x: x[""age""] > 18)` operate by row is that it is effectively a transpose (`x` being a Series means it can only have one dtype), one of the behaviors I would love to remove from p…",,,,,,Anecdotal,comment,,,,,,,,2025-04-22,github/rhshadrach,https://github.com/pandas-dev/pandas/issues/61317#issuecomment-2822457019,repo: pandas-dev/pandas | issue: ENH: Make DataFrame.filter accept filters in new formats | keyword: best practice
"That's a reasonable option. I think filter is more clear, and is what everybody else is using. If we were to implement the API from scratch now, I think it would be the obvious choice. For backward compatibility query may be better, and we can surely consider it. But I would rather have a very long deprecation timeline, than keep the API IMHO wrong because of a choice we did that now is not ideal.",,,,,,Anecdotal,comment,,,,,,,,2025-04-23,github/datapythonista,https://github.com/pandas-dev/pandas/issues/61317#issuecomment-2824439041,repo: pandas-dev/pandas | issue: ENH: Make DataFrame.filter accept filters in new formats | keyword: best practice
Hello @TomAugspurger `pandas-slim` sounds like an good workaround. It looks like docs are not a part of the distribution. And right it's tests code only without the data files - in terms of size they are second to `_libs` and almost equal to the rest of the code. ``` 8.0K ./arrays 16K ./errors 24K ./api 40K ./__pycache__ 76K ./compat 88K ./_config 248K ./tseries 308K ./util 440K ./plotting 2.3M ./io 6.7M ./core 17M ./tests 20M ./_libs ``` And what is the reason of having tests as a part of an A…,,,,,,Anecdotal,comment,,,,,,,,2020-01-06,github/vfilimonov,https://github.com/pandas-dev/pandas/issues/30741#issuecomment-571289513,repo: pandas-dev/pandas | issue: Suggestion: remove tests from the distribution | keyword: best practice
"Yes, the values are quite different, but the issue is the same. Partly, the reason for the different values could be because I ran the main example in Jupyter, while this one I ran directly as a file script. I didn't fully understand why I get this big 2GB offset in the main example. Here is the output: ``` Pandas version: 1.5.1 Initial memory usage: 62.513152 MB Memory usage after iteration: 478.826496 MB Memory usage after iteration: 1270.603776 MB Memory usage after iteration: 1547.554816 MB…",,,,,,Anecdotal,comment,,,,,,,,2022-11-08,github/mar-ses,https://github.com/pandas-dev/pandas/issues/49582#issuecomment-1307436102,repo: pandas-dev/pandas | issue: PERF: Memory leak when returning subset of DataFrame and deleting the rest | keyword: best practice
"Very surprised to see that actually; it was my impression that it was actually recommended that you first create the dataframe, with its full size allocated but empty, and then modify its elements, instead of adding/appending rows. Because adding rows results in constant array creation and is less efficient. At least that's what I thought I heard from places like stackoverflow, perhaps I was mistaken.",,,,,,Anecdotal,comment,,,,,,,,2023-02-27,github/mar-ses,https://github.com/pandas-dev/pandas/issues/49582#issuecomment-1447021471,repo: pandas-dev/pandas | issue: PERF: Memory leak when returning subset of DataFrame and deleting the rest | keyword: best practice
"These two sets of docs are relevant to the case, but if I need to do this: ```python df1 = pd.DataFrame({'A': ['A0', 'A1', 'A2', 'A3'], 'B': ['B0', 'B1', 'B2', 'B3'], 'C': ['C0', 'C1', 'C2', 'C3'], 'D': ['D0', 'D1', 'D2', 'D3']}, index=[0, 1, 2, 3]) # add this single row to df1 row = ['A4', 'B4', 'C4', 'D4'] ``` What is the most efficient way to do this? Do I create a DataFrame for the single row and concat it? Do I use append? One of the `loc/iloc` methods?",,,,,,Anecdotal,comment,,,,,,,,2020-07-27,github/achapkowski,https://github.com/pandas-dev/pandas/issues/35378#issuecomment-664239295,repo: pandas-dev/pandas | issue: DOC:  Data Editing Samples/Guide | keyword: best practice
"At this point, both of those defaults are unlikely to be changed. `pd.DataFrame.from_csv` exists for easier round-tripping, though deprecated, see e.g. #10163 Because it is schema-less, csv is never a particularly safe format for round-tripping, consider using something binary like parquet of HDF5 instead",,,,,,Anecdotal,comment,,,,,,,,2018-12-28,github/chris-b1,https://github.com/pandas-dev/pandas/issues/24468#issuecomment-450406181,repo: pandas-dev/pandas | issue: read_csv should default to index_col = 0 | keyword: best practice
"> You're right, it's the inconsistency with everything else being a method that I don't think it's great: So this is just about a syntax preference. I'd probably continue to use the current methodology of ` [[""pickup_longitude"", ""pickup_latitude"", ""trip_miles""]]` instead of `select()` because I'm used to the former. But if you are trying to get people coming from Polars or PySpark to use pandas instead, then your proposal makes sense, although I think the API should accept either a `*args` OR a…",,,,,,Anecdotal,comment,,,,,,,,2025-06-04,github/Dr-Irv,https://github.com/pandas-dev/pandas/pull/61527#issuecomment-2941361233,repo: pandas-dev/pandas | issue: ENH: Implement DataFrame.select | keyword: best practice
"We discussed this in today's call, and while not the perfect solution, everybody agreed that allowing both `*args` and a list is better than the alternatives. I fully agree that supporting two different APIs is something that we would want to avoid. But at the same time, forcing a list makes the API more complicated and less Pythonic (`.select(""col1"", ""col2"")` is clearly simpler and more pythonic than `.select([""col1"", ""col2""])`). Also, not allowing `*args` would be counterintuitive for users o…",,,,,,Anecdotal,comment,,,,,,,,2025-06-11,github/datapythonista,https://github.com/pandas-dev/pandas/pull/61527#issuecomment-2964314103,repo: pandas-dev/pandas | issue: ENH: Implement DataFrame.select | keyword: best practice
"> This may be because a new major version of numpy was [released](https://pypi.org/project/numpy/#history) on June 16, and in pandas pyproject.toml (version 2.2.2) there is: > > ``` > ""numpy>=1.22.4; python_version<'3.11'"", > ""numpy>=1.23.2; python_version=='3.11'"", > ""numpy>=1.26.0; python_version>='3.12'"", > ``` > > which was causing problems in my case - I had to pin version of numpy to <2 to fix it. Wondering what the reason was for not setting an upper limit. It doesn't make sense to assum…",,,,,,Anecdotal,comment,,,,,,,,2024-06-17,github/adodo-adoli,https://github.com/pandas-dev/pandas/issues/59023#issuecomment-2173153190,"repo: pandas-dev/pandas | issue: BUG: can't support numpy2.2,how to deal with it | keyword: best practice"
"I had this same issue while working with OpenCV, you can give the solutions a try for Pandas instead. Save your files(if needed) and follow the drill **First try** downgrading NumPy as newer versions sometimes creates the problem if it does not solve your issue then go for the second try **Second try** Uninstall Anaconda (if you are using it) and install an older version of the same *as you have to install OpenCV then NumPy gets installed along with it (may happen with other packages too) and i…",,,,,,Anecdotal,comment,,,,,,,,2024-09-03,github/Handique-lab,https://github.com/pandas-dev/pandas/issues/59023#issuecomment-2327212936,"repo: pandas-dev/pandas | issue: BUG: can't support numpy2.2,how to deal with it | keyword: best practice"
"Thanks @luke396 ! I was hoping that this part would be edited: ```rst Two instances of :class:`~pandas.api.types.CategoricalDtype` compare equal whenever they have the same categories and order. When comparing two unordered categoricals, the order of the ``categories`` is not considered. ``` to be a complete and definitive definition, covering all cases right here. (instead of adding examples and having the user then guess the actual rules)",,,,,,Anecdotal,comment,,,,,,,,2024-02-06,github/VladimirFokow,https://github.com/pandas-dev/pandas/pull/57273#issuecomment-1929049214,repo: pandas-dev/pandas | issue: DOC: Add notice and example for `CategoricalDtype` with different ``categories_dtype`` | keyword: best practice
"@datapythonista I modified this PR's code, title, and original comment, and it is again ready for review. Since I am now testing 2.0-style sqlalchemy connectables instead of checking for warnings, I think this can close #40686. Since I did make a lot of changes, would you prefer that I start a new PR instead?",,,,,,Anecdotal,comment,,,,,,,,2022-09-23,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1256456148,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
"@mroeschke I haven't seen a release date for sqlalchemy 2.0. Instead of duplicating all the tests, I could make the `future` argument of `create_engine` depend on either a global constant in test_sql.py or an environment variable. The `future` argument will be supported in sqlalchemy 2.0 and required to be `True`. I could also put this PR on hold until the beta release of sqlalchemy 2.0 comes out.",,,,,,Anecdotal,comment,,,,,,,,2022-09-23,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1256713833,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
"I'm planning to make some changes to this PR. Firstly, I noticed that pandas.io.sql.execute is documented, right above this line: https://pandas.pydata.org/docs/user_guide/io.html?highlight=sql%20execute#engine-connection-examples . As it stands, my PR would make this return a context manager instead of a Results Iterable, and I don't think I need to make this change, so I will change it back. I plan to make `SQLDatabase` accept only a SQLAlchemy `Connection` and not an `Engine`. I would change…",,,,,,Anecdotal,comment,,,,,,,,2022-10-28,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1294907916,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
"@datapythonista @mroeschke Based on your feedback, I took out all the test duplication, and instead ran the tests with sqlalchemy 2.0.0b2 installed to ensure that this can close #40686. This PR will allow pandas to work with sqlalchemy 1.4.16 (the documented minimum version) and higher, even after sqlalchemy 2.0 is released. I found a note here (written 10/13/2022) on the timing of sqlalchemy 2.0: https://www.sqlalchemy.org/blog/2022/10/13/sqlalchemy-2.0.0b1-released/ >we will likely move from …",,,,,,Anecdotal,comment,,,,,,,,2022-10-31,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1297071602,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
