description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"Improving Airflow UI with Accessibility and Best Practices ### Apache Airflow version main (development) ### If ""Other Airflow 2 version"" selected, which one? _No response_ ### What happened? In the [Airflow UI](https://github.com/apache/airflow/tree/main/airflow-core/src/airflow/ui) lacks some important accessibility features such as a proper lang attribute on the <html> tag and semantic navigation landmarks with appropriate ARIA labels. Additionally, iframe sandbox permissions are not explici…",,,,,,Anecdotal,issue,,,,,,,,2025-08-17,github/NithinU2802,https://github.com/apache/airflow/issues/54587,repo: apache/airflow | keyword: best practice | state: open
"I think there are two concerns mixed here: 1) languge 2) accessibility 2) security My suggestion is, if you are going to try to address those issues, is to split it into three, separate PRs. Also on top of the - undoubtedly - AI-generated generic advices, those PRs shoudl contain a little bit more of application of the advices to our specific cases: For 1) and 2), it would be great if you apply in your PRs using of the language translation framework we already have - as you might not realise in…",,,,,,Anecdotal,comment,,,,,,,,2025-08-17,github/potiuk,https://github.com/apache/airflow/issues/54587#issuecomment-3194375659,repo: apache/airflow | issue: Improving Airflow UI with Accessibility and Best Practices | keyword: best practice
"Hi @potiuk, Thank you assigning this to me. Thank you for your concerns since I'm new to contributing I had used AI to explain it much better. I'll check up your advice for those changes and looking forward to raise seperate PRs accordingly✌️.",,,,,,Anecdotal,comment,,,,,,,,2025-08-17,github/NithinU2802,https://github.com/apache/airflow/issues/54587#issuecomment-3194404670,repo: apache/airflow | issue: Improving Airflow UI with Accessibility and Best Practices | keyword: best practice
"> Hi [@potiuk](https://github.com/potiuk), Thank you assigning this to me. Thank you for your concerns since I'm new to contributing I had used AI to explain it much better. I'll check up your advice for those changes and looking forward to raise seperate PRs accordingly✌️. Sure. And there is nothing wrong with using AI to enhance your skills. We are using it more and more and even had blog post about it https://news.apache.org/foundation/entry/ai-and-open-source-expanding-apache-airflows-globa…",,,,,,Anecdotal,comment,,,,,,,,2025-08-17,github/potiuk,https://github.com/apache/airflow/issues/54587#issuecomment-3194410253,repo: apache/airflow | issue: Improving Airflow UI with Accessibility and Best Practices | keyword: best practice
"ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() ### Apache Airflow version 3.0.2 ### If ""Other Airflow 2 version"" selected, which one? _No response_ ### What happened? The exception occurred when the DAG ran with `dag.test()` attempted to retrieve a variable from the API server. Some similar issues have been opened (#48554, #51062, #51316). The PRs provided as a solution (#50300, #50419) were included in 3.0.2 but did not fix the problem. ``` Exception has occurred: ImportErr…",,,,,,Anecdotal,issue,,,,,,,,2025-06-16,github/opeida,https://github.com/apache/airflow/issues/51816,repo: apache/airflow | keyword: best practice | state: open
Yeah it is in an issue. The problem is the dag is already parsed before the `dag.test` code can be called which would assign `task_runner.SUPERVISOR_COMMS = InProcessSupervisorComms`,,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-2980436635,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"Assuming we can detect the case when this is being imported from doing `python mydag.py` (which I'm 95% sure we can, so that is the 'easy' part) how should we actually obtain a value/variable? I.e. ignoring all practicialities or other issues, what _should_ this do, given the increased security model in Airflow 3 of not allowing unfettered DB access?",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/ashb,https://github.com/apache/airflow/issues/51816#issuecomment-2980472886,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> Assuming we can detect the case when this is being imported from doing `python mydag.py` (which I'm 95% sure we can, so that is the 'easy' part) how should we actually obtain a value/variable? > > I.e. ignoring all practicialities or other issues, what _should_ this do, given the increased security model in Airflow 3 of not allowing unfettered DB access? Since we allow that in the actual dag parsing models (as it goes via DAG processor -> Supervisor comms -> Variable), we should do the same f…",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-2980495661,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"@opeida The ideal way would be to not access Variables or Connections at the top of your file (i.e outside Task Context). In your case, you can rewrite the dag as follows: ```py import logging from airflow import DAG from airflow.providers.standard.operators.empty import EmptyOperator from airflow.providers.standard.operators.python import PythonOperator def my_function(my_var: str) -> None: logging.getLogger(__name__).info(my_var) with DAG(""test_dag"") as dag: start = EmptyOperator(task_id=""sta…",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-2980512138,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"So: detecting when we have top-level dag code, at least in the `python mydagfile.py` case: ```python def __getattr__(name): if name == ""SUPERVISOR_COMMS"" and ""__main__"" in sys.modules: import traceback frames = [ frame for (frame, lnum) in traceback.walk_stack(None) if not frame.f_code.co_filename.startswith(""<frozen importlib."") ] if sys.modules[""__main__""].__file__ == frames[-1].f_code.co_filename: raise RuntimeError(""Top level API access here"") raise AttributeError(f""module {__name__!r} has …",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/ashb,https://github.com/apache/airflow/issues/51816#issuecomment-2980679579,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> [@opeida](https://github.com/opeida) The ideal way would be to not access Variables or Connections at the top of your file (i.e outside Task Context) @kaxil are there workarounds to eliminate the use of top-level variables for dynamic DAG generation? We pull data from numerous accounts of a third-party provider. The accounts variable can change dynamically and stores sensitive information including API keys. In all other cases, we utilize Jinja templates within Task Context following Airflow'…",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/opeida,https://github.com/apache/airflow/issues/51816#issuecomment-2980811694,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"You can just do following in your case: ```py provider_name = ""<provider_name>"" def my_function(my_var: str) -> None: logging.getLogger(__name__).info(my_var) with DAG(""test_dag"") as dag: start = EmptyOperator(task_id=""start"") py_func = PythonOperator( task_id=""py_func"", python_callable=my_function, op_kwargs={ ""my_var"": ""{{ var.value."" + provider_name + ""_accounts }}"" } ) end = EmptyOperator(task_id=""end"") start >> py_func >> end ```",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-2980857201,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> So: detecting when we have top-level dag code, at least in the `python mydagfile.py` case: > > def __getattr__(name): > if name == ""SUPERVISOR_COMMS"" and ""__main__"" in sys.modules: > import traceback > > frames = [ > frame > for (frame, lnum) in traceback.walk_stack(None) > if not frame.f_code.co_filename.startswith(""<frozen importlib."") > ] > if sys.modules[""__main__""].__file__ == frames[-1].f_code.co_filename: > raise RuntimeError(""Top level API access here"") > > raise AttributeError(f""modu…",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-2980867342,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> py_func = PythonOperator( > task_id=""py_func"", > python_callable=my_function, > op_kwargs={ > ""my_var"": ""{{ var.value."" + provider_name + ""_accounts }}"" > } > ) @kaxil the provided DAG reproduces the issue only and does not reflect our actual case. We need the ability to trigger a certain account, gather metrics to StatsD for each account, and utilize the additional flexibility that dynamic DAG generation offers. Thank you for your reply. I look forward to testing the fix if one is provided. …",,,,,,Anecdotal,comment,,,,,,,,2025-06-17,github/opeida,https://github.com/apache/airflow/issues/51816#issuecomment-2981493262,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> UPD: import `Variable` from `airflow.models` instead of `airflow.sdk` fixes the problem but doesn't seem like a best practice solution. Yeah, that still works as it's falling back to the direct DB access based approach",,,,,,Anecdotal,comment,,,,,,,,2025-06-18,github/ashb,https://github.com/apache/airflow/issues/51816#issuecomment-2984241505,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"Import from `airflow.models` works for me to load ENV defined variable. Is `airflow.sdk` not well oriented for non-runner environment yet? I have seen various troubles already like `dag.folder` is wrong when running thru CLI, `sys.path` not being properly enhanced...",,,,,,Anecdotal,comment,,,,,,,,2025-06-26,github/simi,https://github.com/apache/airflow/issues/51816#issuecomment-3007736559,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"We use variables for dynamic DAG scheduling, so we can access and modify schedules via web-UI by ourselves, without having to change deployment configs (OS environment variables) through DevOps guys. Example: ```python with DAG( ""DAG_1"", schedule=Variable.get(""DAG_1_SCHEDULE"", None) ) ``` So I feel like I have to ask: will the final fixed version allow for us to do the same?",,,,,,Anecdotal,comment,,,,,,,,2025-07-04,github/DartVeDroid,https://github.com/apache/airflow/issues/51816#issuecomment-3036921222,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> We use variables for dynamic DAG scheduling, so we can access and modify schedules via web-UI by ourselves, without having to change deployment configs (OS environment variables) through DevOps guys. Example: > > with DAG( > ""DAG_1"", > schedule=Variable.get(""DAG_1_SCHEDULE"", None) > ) > So I feel like I have to ask: will the final fixed version allow for us to do the same? Yes, although timeline TBD",,,,,,Anecdotal,comment,,,,,,,,2025-07-04,github/kaxil,https://github.com/apache/airflow/issues/51816#issuecomment-3036961653,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"Add support to `--build-constraint(s)` flag for our constraint preparation Currently in airflow CI process we prepare constraints automatically and both our CI process and user installation are designed around using it to ""stabilize"" both CI (PR stability) and Reproducible installation of airflow. This prevents Airflow from being susceptible to breaking installation and tests when new version of a dependency (including transitive dependencies) is released. We can detect such breakages and remed…",,,,,,Anecdotal,issue,,,,,,,,2025-08-12,github/potiuk,https://github.com/apache/airflow/issues/54394,repo: apache/airflow | keyword: best practice | state: open
"FYI, it's not clear what is best practices for build constraints, it might be the case you can pin them all, alternatively you might just be able to put upper bounds or ranges on them. And there is likely a difference between dev workflows (which can be somewhat scripted) and user workflows which need to ""just work"". As this is an area not well historically served by Python package installer tools there is a lot less experience out there.",,,,,,Anecdotal,comment,,,,,,,,2025-08-12,github/notatallshaw,https://github.com/apache/airflow/issues/54394#issuecomment-3179663929,repo: apache/airflow | issue: Add support to `--build-constraint(s)` flag for our constraint preparation | keyword: best practice
"> FYI, it's not clear what is best practices for build constraints, it might be the case you can pin them all, alternatively you might just be able to put upper bounds or ranges on them. Yep I know. It's just our choice and we have good reasons for Airlfow to do so.",,,,,,Anecdotal,comment,,,,,,,,2025-08-12,github/potiuk,https://github.com/apache/airflow/issues/54394#issuecomment-3180159412,repo: apache/airflow | issue: Add support to `--build-constraint(s)` flag for our constraint preparation | keyword: best practice
"Support a global template_searchpath config option in Airflow ### Description **Apache Airflow version** 3 **What happened?** While upgrading to Airflow 3, we restructured our DAGs to follow the recommended best practices — specifically, moving shared SQL templates out of the `dags/` directory and into the `include/` folder. However, once we made this change, our DAGs could no longer find the SQL files unless we explicitly added a `template_searchpath` argument inside every single DAG definitio…",,,,,,Anecdotal,issue,,,,,,,,2025-07-31,github/gunjisairevanth,https://github.com/apache/airflow/issues/53972,repo: apache/airflow | keyword: best practice | state: open
"Thanks for opening your first issue here! Be sure to follow the issue template! If you are willing to raise PR to address this issue please do so, no need to wait for approval.",,,,,,Anecdotal,comment,,,,,,,,2025-07-31,github/boring-cyborg[bot],https://github.com/apache/airflow/issues/53972#issuecomment-3139507037,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"I'd like to pick up this issue if it's not already being handled and looks like a usefull feature. Please let me know if there are any constraints, expectations, or directions I should follow before I start working on a solution.",,,,,,Anecdotal,comment,,,,,,,,2025-08-01,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3142650806,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"Hi @amoghrajesh , As you suggested, I tried using the environment variable AIRFLOW__CORE__TEMPLATE_SEARCHPATH in the Breeze terminal, and used it in the DAGs with template_searchpath able to access it.In development mode, we can set the default path while starting Airflow. Is it okay to set it this way , or is there any other preferred approach for production as well?",,,,,,Anecdotal,comment,,,,,,,,2025-08-04,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3150301097,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"Hi @potiuk amd @amoghrajesh , In development (using Breeze), we can access the value if we export AIRFLOW__CORE__TEMPLATE_SEARCHPATH=""<path>"" inside the Breeze terminal. That works fine. Also, i have added support for setting default path when Breeze starts — via CLI option like breeze start-airflow --template-searchpath ""<path>"" to make it easier instead of exporting every time. For **Production**, I tried passing the variable as an environment variable in the docker run command, and it worked…",,,,,,Anecdotal,comment,,,,,,,,2025-08-06,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3159742446,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"> But I’m not sure if we’re supposed to set a default path somewhere in deployment, or if it always has to be passed manually. Would be great to know what the recommended way is for setting it up . I have no idea as well - I don't even know where this behaviour you are observing is coming from, because it is not documented in config_templates/config.yml and resulting documentation - so it woudl require to go through codebase and check/find out how it is derived. But yes, I think it would be a g…",,,,,,Anecdotal,comment,,,,,,,,2025-08-06,github/potiuk,https://github.com/apache/airflow/issues/53972#issuecomment-3159816002,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"Thanks @potiuk, makes sense! I’ve tested this solution by adding the line below to `files/airflow-breeze-config/init.sh`: ```bash export AIRFLOW__CORE__TEMPLATE_SEARCHPATH=/files/my_templates",,,,,,Anecdotal,comment,,,,,,,,2025-08-06,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3159983238,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
@potiuk I've made the change you suggested: Introduced a new template_searchpath parameter in config_templates/config.yml to make the configuration explicit. Investigated the codebase (especially around DAG rendering logic) to trace where the Jinja template environment is created and used.,,,,,,Anecdotal,comment,,,,,,,,2025-08-08,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3166677774,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
"Upgrade FAB to FAB 5 Switch to using flask-sqlalchemy db session management, and include Auth Manager Provider Test Isolation and Reliability - Refactor test fixtures to always use Flask app contexts for DB and app operations. - Add a global pytest fixture to clear SQLAlchemy metadata before each test, reducing test flakiness. - Standardize session access and cleanup patterns across all tests. - Refactor user/role creation and deletion to ensure proper isolation. - Update test logic to use new …",,,,,,Anecdotal,issue,,,,,,,,2025-05-22,github/potiuk,https://github.com/apache/airflow/pull/50960,repo: apache/airflow | keyword: best practice | state: open
"Configurable/airules Description Fixes #53748 This PR enhances the React plugin bootstrap process by introducing a Y/n prompt that lets users choose whether to include the ai_agent_rules folder when generating a new plugin. This streamlines plugin creation by automating conditional file inclusion, reducing manual setup, and supporting future AI-driven plugin development. Key improvements: -User-friendly prompt during project bootstrap -Conditional copying of ai_agent_rules based on user input -…",,,,,,Anecdotal,issue,,,,,,,,2025-08-02,github/urvisrikm9,https://github.com/apache/airflow/pull/54060,repo: apache/airflow | keyword: best practice | state: open
"Congratulations on your first Pull Request and welcome to the Apache Airflow community! If you have any issues or are unsure about any anything please check our Contributors' Guide (https://github.com/apache/airflow/blob/main/contributing-docs/README.rst) Here are some useful points: - Pay attention to the quality of your code (ruff, mypy and type annotations). Our [pre-commits]( https://github.com/apache/airflow/blob/main/contributing-docs/08_static_code_checks.rst#prerequisites-for-pre-commit…",,,,,,Anecdotal,comment,,,,,,,,2025-08-02,github/boring-cyborg[bot],https://github.com/apache/airflow/pull/54060#issuecomment-3146714711,repo: apache/airflow | issue: Configurable/airules | keyword: best practice
"All failed workflows in this PR are not related to my changes, which only affect the React plugin template generator and AI rule configuration. The failures are in Helm charts, AMD, or unrelated infrastructure jobs. Please advise if any action is needed from my side.",,,,,,Anecdotal,comment,,,,,,,,2025-08-03,github/urvisrikm9,https://github.com/apache/airflow/pull/54060#issuecomment-3148281511,repo: apache/airflow | issue: Configurable/airules | keyword: best practice
Hi @potiuk @gopidesupavan Just a gentle reminder — this PR is ready for review whenever you get a chance. Let me know if I should improve anything. Thanks!,,,,,,Anecdotal,comment,,,,,,,,2025-08-03,github/urvisrikm9,https://github.com/apache/airflow/pull/54060#issuecomment-3148521705,repo: apache/airflow | issue: Configurable/airules | keyword: best practice
"RuntimeError in trigger creating hooks, Airflow 3.0.3 ### Apache Airflow version 3.0.3 ### If ""Other Airflow 2 version"" selected, which one? _No response_ ### What happened? The error `RuntimeError: You cannot use AsyncToSync in the same thread as an async event loop - just await the async function directly.` is occurred when `BigQueryHook` inits in `async def run(self)`. The issue began immediately after upgrading from 3.0.2 to 3.0.3. ```Python class BigQueryTaskStatusTrigger(BaseTrigger): asy…",,,,,,Anecdotal,issue,,,,,,,,2025-07-17,github/opeida,https://github.com/apache/airflow/issues/53447,repo: apache/airflow | keyword: best practice | state: open
hm the problem is self.get_connection call is being made as sync call . one solution to is to change self.get_connection to async may be updating the GoogleBaseAsyncHook with sync_to_async(self.get_connection) like this.,,,,,,Anecdotal,comment,,,,,,,,2025-07-17,github/gopidesupavan,https://github.com/apache/airflow/issues/53447#issuecomment-3083747404,"repo: apache/airflow | issue: RuntimeError in trigger creating hooks, Airflow 3.0.3 | keyword: best practice"
"this thinks me i think we have to re look all the providers how its fetching connection/ or any task sdk call, now with recent change these calls must be async call. otherwise we end above errors ? @ashb",,,,,,Anecdotal,comment,,,,,,,,2025-07-17,github/gopidesupavan,https://github.com/apache/airflow/issues/53447#issuecomment-3083752016,"repo: apache/airflow | issue: RuntimeError in trigger creating hooks, Airflow 3.0.3 | keyword: best practice"
"This would have previously blocked the event loop too, so it may have ""worked"" before but it was never the right way of doing it. The error isn't great, but I think all we can do is improve the error message -- the trigger code is wrong. Also note: this is not the part of the offical Airflow code but a users custom trigger. Yes it sucks that it is now breaking. Overall are options are: Improve the error message so the user can fix their code, or switch to something like Greenlet so we can more-…",,,,,,Anecdotal,comment,,,,,,,,2025-07-17,github/ashb,https://github.com/apache/airflow/issues/53447#issuecomment-3084298443,"repo: apache/airflow | issue: RuntimeError in trigger creating hooks, Airflow 3.0.3 | keyword: best practice"
"@opeida In this case, the fix is to change your trigger code from this: ```python hook = BigQueryHook(gcp_conn_id=self.gcp_conn_id, use_legacy_sql=False) ``` to this ```python hook = await sync_to_async(BigQueryHook)(gcp_conn_id=self.gcp_conn_id, use_legacy_sql=False) ```",,,,,,Anecdotal,comment,,,,,,,,2025-07-17,github/ashb,https://github.com/apache/airflow/issues/53447#issuecomment-3084302166,"repo: apache/airflow | issue: RuntimeError in trigger creating hooks, Airflow 3.0.3 | keyword: best practice"
"Well, this is exactly the problem I described in #50185. In fact, this issue is that issue - in both cases we are dealing with custom triggers (see [the last paragraph of the original issue author's last comment](https://github.com/apache/airflow/issues/50185#issuecomment-2891834967)), but that one did not have enough feedback. So now we have [the effect I described in the comment on the linked PR](https://github.com/apache/airflow/pull/51699#issuecomment-2971117179) - the fix may be one of the…",,,,,,Anecdotal,comment,,,,,,,,2025-07-26,github/x42005e1f,https://github.com/apache/airflow/issues/53447#issuecomment-3120798640,"repo: apache/airflow | issue: RuntimeError in trigger creating hooks, Airflow 3.0.3 | keyword: best practice"
"Add ObjectStoragePath.from_conn method. ### Problem Currently, when working with `ObjectStoragePath`, you need to redundantly specify both the `conn_id` and the full URI including the protocol (scheme), even though the protocol can be inferred from the connection itself. For example, in two different environments: ```bash # Local development AIRFLOW_CONN_STORAGE='{ ""conn_type"": ""objectstore"", ""extra"": { ""provider"": ""file"", ""base_path"": ""/opt/airflow/storage"" } }' # Production AIRFLOW_CONN_STORA…",,,,,,Anecdotal,issue,,,,,,,,2025-06-21,github/simi,https://github.com/apache/airflow/pull/52002,repo: apache/airflow | keyword: best practice | state: open
"Is the `objectstore` conn type a thing? It’s somewhat awkward for me that we must have a separate conn type to use with OSP, while many existing type (e.g. ftp) can do the same.",,,,,,Anecdotal,comment,,,,,,,,2025-06-23,github/uranusjr,https://github.com/apache/airflow/pull/52002#issuecomment-2994805053,repo: apache/airflow | issue: Add ObjectStoragePath.from_conn method. | keyword: best practice
"@uranusjr looks like you are right, there are connection types for s3 and local file system storage, perhaps, a good suggestion here should be to check if the connection type is in an array that includes all object storage connection types or all file system compatible storage types",,,,,,Anecdotal,comment,,,,,,,,2025-06-23,github/Nataneljpwd,https://github.com/apache/airflow/pull/52002#issuecomment-2994998982,repo: apache/airflow | issue: Add ObjectStoragePath.from_conn method. | keyword: best practice
"@Nataneljpwd @uranusjr thanks for the review. I did another take on this. Now it is about to create like ""root"" `ObjectStoragePath` you use later in your dags with Path API. It is similar what's described in OSP docs today, just no need to specify fsspec URI and thus backing connection could be different per environment if passing needed extra. It can be GCP with GCS config, fs with file or AWS with S3 config and DAG will use it with no code change. WDYT? ```python storage = ObjectStoragePath.f…",,,,,,Anecdotal,comment,,,,,,,,2025-07-02,github/simi,https://github.com/apache/airflow/pull/52002#issuecomment-3029396890,repo: apache/airflow | issue: Add ObjectStoragePath.from_conn method. | keyword: best practice
"@Nataneljpwd I'm not sure it is related. But I can rebase to restart tests. ``` E sqlalchemy.exc.OperationalError: (MySQLdb.OperationalError) (2013, 'Lost connection to server during query') E [SQL: UPDATE dag_bundle SET last_refreshed=%s WHERE dag_bundle.name = %s] E [parameters: (datetime.datetime(2025, 7, 4, 13, 0, 38, 455528), 'testing')] E (Background on this error at: https://sqlalche.me/e/14/e3q8) ```",,,,,,Anecdotal,comment,,,,,,,,2025-07-20,github/simi,https://github.com/apache/airflow/pull/52002#issuecomment-3094435095,repo: apache/airflow | issue: Add ObjectStoragePath.from_conn method. | keyword: best practice
