description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"Avoid using lambda functions in DataFrame filters for row operations, use 'df.filter(df[""col""].str.contains(""xxx""))' instead","Lambda functions operating by row effectively transpose the data, which can lead to inefficiencies and unexpected behaviors due to the single dtype restriction of a Series. Using 'df.filter(df[""col""].str.contains(""xxx""))' provides a more efficient and predictable alternative.",Filtering rows in pandas DataFrame,Efficiency,4,4,Observed,workaround,Data Processing,N,nan,nan,nan,nan,nan,2025-04-22,github/rhshadrach,https://github.com/pandas-dev/pandas/issues/61317#issuecomment-2822457019,repo: pandas-dev/pandas | issue: ENH: Make DataFrame.filter accept filters in new formats | keyword: best practice
"Prioritize backward compatibility when modifying APIs, even if it means maintaining less ideal choices.","Changing APIs can break existing applications that rely on them. Maintaining backward compatibility ensures that changes don't disrupt users' existing workflows, even if it means keeping less ideal choices. This approach can be more user-friendly and prevent loss of users due to disruptive changes.",Modifying existing APIs,Retention,4,5,Observed,rule-of-thumb,User Retention,N,nan,nan,nan,nan,nan,2025-04-23,github/datapythonista,https://github.com/pandas-dev/pandas/issues/61317#issuecomment-2824439041,repo: pandas-dev/pandas | issue: ENH: Make DataFrame.filter accept filters in new formats | keyword: best practice
Avoid running large data manipulation tasks directly as a file script; use Jupyter instead.,"Running large data manipulation tasks directly as a file script can lead to significant memory usage and potential memory leaks. Jupyter, on the other hand, handles memory more efficiently and can help avoid these issues.",Large data manipulation tasks,Efficiency,4,5,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2022-11-08,github/mar-ses,https://github.com/pandas-dev/pandas/issues/49582#issuecomment-1307436102,repo: pandas-dev/pandas | issue: PERF: Memory leak when returning subset of DataFrame and deleting the rest | keyword: best practice
"Use pandas DataFrame's `loc` function to add a single row to an existing DataFrame, rather than creating a new DataFrame for the single row and concatenating it.","The `loc` function allows you to directly add a new row to an existing DataFrame, which is more efficient in terms of memory usage and execution time than creating a new DataFrame and concatenating it. This is because creating a new DataFrame and concatenating it requires more computational resources and can slow down the execution of your code, especially when dealing with large data sets.",Adding single row to DataFrame,Efficiency,5,5,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2020-07-27,github/achapkowski,https://github.com/pandas-dev/pandas/issues/35378#issuecomment-664239295,repo: pandas-dev/pandas | issue: DOC:  Data Editing Samples/Guide | keyword: best practice
Use binary formats like parquet or HDF5 for data round-tripping instead of CSV,"Binary formats like parquet or HDF5 are schema-based, providing a safer and more reliable method for data round-tripping than schema-less formats like CSV. This reduces the risk of data loss or corruption during the process.",Data round-tripping in business,Risk,4,5,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2018-12-28,github/chris-b1,https://github.com/pandas-dev/pandas/issues/24468#issuecomment-450406181,repo: pandas-dev/pandas | issue: read_csv should default to index_col = 0 | keyword: best practice
"Use the `[['column1', 'column2', 'column3']]` syntax instead of `select()` when working with pandas for data manipulation.",This syntax is more familiar to most pandas users and is consistent with the rest of the pandas API. It also allows for more flexibility and control over data manipulation tasks.,Data manipulation in pandas,Efficiency,4,5,Observed,rule-of-thumb,Data Manipulation,N,nan,nan,nan,nan,nan,2025-06-04,github/Dr-Irv,https://github.com/pandas-dev/pandas/pull/61527#issuecomment-2941361233,repo: pandas-dev/pandas | issue: ENH: Implement DataFrame.select | keyword: best practice
Use explicit definitions in technical documentation to avoid ambiguity,"Explicit definitions reduce the need for users to infer rules from examples, which can lead to misunderstandings. This is particularly important in technical documentation where precision is key.",Writing technical documentation,Efficiency,4,5,Observed,rule-of-thumb,Documentation,N,nan,nan,nan,nan,nan,2024-02-06,github/VladimirFokow,https://github.com/pandas-dev/pandas/pull/57273#issuecomment-1929049214,repo: pandas-dev/pandas | issue: DOC: Add notice and example for `CategoricalDtype` with different ``categories_dtype`` | keyword: best practice
Use a global constant or environment variable to manage dependencies on future software updates,This approach allows you to prepare your code for future updates without duplicating tests or code. It also provides flexibility to easily switch between current and future dependencies as needed.,Preparing code for future updates,Efficiency,4,4,Observed,workaround,Software Development,N,nan,nan,nan,nan,nan,2022-09-23,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1256713833,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
Avoid altering documented functions in pull requests unless necessary,"Changing a documented function can lead to unexpected behavior for users who rely on the existing functionality. It's better to create a new function if the existing one doesn't meet your needs, or to carefully consider the impact of changes on users.",Modifying functions in open-source projects,Risk,4,4,Observed,rule-of-thumb,Code Management,N,nan,nan,nan,nan,nan,2022-10-28,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1294907916,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: lesson learned
Use `re.escape(...)` for preparing an exact regex match programmatically.,"This method allows you to escape a string in preparation for an exact regex match, which is useful when you want to ensure that special characters in the string are treated as literal characters and not as special regex symbols. This can help prevent unexpected behavior in your code.",Escaping strings for regex match,Efficiency,4,4,Observed,workaround,Code Efficiency,N,nan,nan,nan,nan,nan,2022-08-19,github/tomaarsen,https://github.com/pandas-dev/pandas/issues/48086#issuecomment-1220680487,repo: pandas-dev/pandas | issue: ENH: add `regex=False` option to pandas.Series.str.match and fullmatch (like in str.contains) | keyword: lesson learned
Use 'colspan' and 'rowspan' to handle multi-index data in HTML tables.,"The 'colspan' and 'rowspan' attributes in HTML tables can create virtual cells that are copies of the real cells. This can be useful when dealing with multi-index data, as it allows for a more efficient and accurate representation of the data structure.",Handling multi-index data in HTML,Efficiency,4,4,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2018-06-14,github/adamhooper,https://github.com/pandas-dev/pandas/pull/21487,repo: pandas-dev/pandas | keyword: lesson learned | state: closed
Use IntervalIndex for natural representation of grids in simulations and measurements,"Instead of referencing a single value, a grid cell references a range of values, based on the chosen discretization. This allows for more accurate and flexible data representation, especially in physical systems simulations and measurements.",Simulations and measurements representation,Efficiency,4,4,Observed,workaround,Data Representation,N,nan,nan,nan,nan,nan,2014-07-01,github/shoyer,https://github.com/pandas-dev/pandas/issues/7640,repo: pandas-dev/pandas | keyword: lesson learned | state: closed
Use `pd.interval_range` instead of `pd.cut` for creating an IntervalIndex in pandas.,"`pd.cut` returns a CategoricalIndex, which may not be ideal for certain operations that require interval data. The `pd.interval_range` function, on the other hand, directly creates an IntervalIndex, providing a more straightforward and efficient way to handle interval data.",Handling interval data in pandas,Efficiency,4,4,Observed,workaround,Data Analysis,N,nan,nan,nan,nan,nan,2018-05-07,github/blalterman,https://github.com/pandas-dev/pandas/issues/7640#issuecomment-387091110,repo: pandas-dev/pandas | issue: Proposal: New Index type for binned data (IntervalIndex) | keyword: lesson learned
Use SQLAlchemy's ORM part instead of Core for better handling of SQL transactions.,"The ORM part of SQLAlchemy has a 'begin' method and 'execute' method which can handle SQL transactions more efficiently. This is because it provides a Session or connection, which can support temporary tables when using a Connection.",Managing SQL transactions,Efficiency,4,4,Observed,workaround,Database Management,N,nan,nan,nan,nan,nan,2015-07-19,github/jorisvandenbossche,https://github.com/pandas-dev/pandas/pull/10617#issuecomment-122649728,repo: pandas-dev/pandas | issue: support sql transactions | keyword: lesson learned
Use a boolean mask instead of 'where' for the same behavior in data manipulation.,"Using a boolean mask can achieve the same result as 'where' but with less complexity and more efficiency. It's a more direct method of filtering data in pandas, which can improve code readability and maintainability.",Data manipulation in pandas,Efficiency,4,4,Observed,workaround,Data Analysis,N,nan,nan,nan,nan,nan,2016-03-17,github/johne13,https://github.com/pandas-dev/pandas/issues/12648#issuecomment-197675532,repo: pandas-dev/pandas | issue: ENH:  cumcount() for DataFrames and Series | keyword: workaround
Use a try-except block when dealing with infinite or unpredictable datatypes.,"In situations where there are infinite or unpredictable datatypes, it may not be feasible to map all possible types. A try-except block can handle unexpected types, preventing crashes and maintaining program flow.",Handling infinite or unpredictable datatypes,Efficiency,4,4,Observed,workaround,Error Handling,N,nan,nan,nan,nan,nan,2023-05-12,github/danielhanchen,https://github.com/pandas-dev/pandas/issues/53011#issuecomment-1545785525,repo: pandas-dev/pandas | issue: BUG: read_parquet converts pyarrow list type to numpy dtype | keyword: workaround
"Create a bbappend file with the content: SETUPTOOLS_BUILD_ARGS += ""--plat-name ${MACHINE}"" to address item #1.","This workaround creates the wheel using the machine name instead of x86_64, which can help avoid dtype mismatch issues. The ${MACHINE} parameter can be replaced with TUNE_ARCH to include the CPU type, if needed.",Avoiding Buffer dtype mismatch,Efficiency,3,4,Observed,workaround,Bug Fixing,N,nan,nan,nan,nan,nan,2023-10-13,github/scinteeb,https://github.com/pandas-dev/pandas/issues/55305#issuecomment-1761390072,"repo: pandas-dev/pandas | issue: BUG: ValueError: Buffer dtype mismatch, expected 'intp_t' but got 'long long' on ARMv7 32 bit | keyword: workaround"
Use the transpose method (.T) before applying the correlation method (.corr()) to calculate correlation among rows in a DataFrame.,"Pandas DataFrame.corr() method calculates the pairwise correlation of columns by default. To calculate the correlation among rows, you need to transpose the DataFrame first, which swaps rows and columns.",Calculating row-wise correlation,Efficiency,4,5,Peer-validated,workaround,Data Analysis,N,nan,nan,nan,nan,nan,2020-06-26,github/alexlenail,https://github.com/pandas-dev/pandas/issues/35002,repo: pandas-dev/pandas | keyword: workaround | state: open
Use `combine_chunks()` to consolidate underlying arrays when deep copying is not required,"This method is a workaround for the issue where `copy` returns a shallow copy due to the underlying array's immutability. By using `combine_chunks()`, you can create a consolidated array without preserving the original chunking layout, thus bypassing the need for a deep copy.",Deep copying immutable underlying arrays,Efficiency,4,4,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2025-07-23,github/mroeschke,https://github.com/pandas-dev/pandas/issues/61930#issuecomment-3109392476,repo: pandas-dev/pandas | issue: PERF: `DataFrame.copy(deep=True)` returns a view on the original pyarrow buffer | keyword: workaround
Use alternative features when main ones are deprecated or buggy,"In software development, features can sometimes be deprecated or contain bugs that hinder their functionality. By using alternative features, you can bypass these issues and maintain productivity.","Software development, bug workaround",Efficiency,4,4,Observed,workaround,Bug Resolution,N,nan,nan,nan,nan,nan,2021-07-01,github/mzeitlin11,https://github.com/pandas-dev/pandas/issues/41930#issuecomment-872571665,repo: pandas-dev/pandas | issue: BUG: pd.Grouper cannot be reused in some cases  | keyword: workaround
"Use ``` pandas.set_option('future.no_silent_downcasting', True) ``` to retain object dtype in pandas 3.0","This setting prevents automatic downcasting to int64, allowing you to maintain the original data type of your pandas series. It's a workaround to a change in pandas 3.0 that may not be desirable for all use cases.",Retaining object dtype in pandas,Efficiency,4,5,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2024-03-06,github/phofl,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-1981871396,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
Use 'map' function instead of 'replace' for casting categorical variables in pandas,"The 'replace' function in pandas was previously casting your dtypes, but it will stop doing so in future versions. Using the 'map' function instead allows you to maintain control over dtype casting, making your code more future-proof and less prone to unexpected behavior.",Casting categorical variables in pandas,Efficiency,4,5,Observed,workaround,Data Processing,N,nan,nan,nan,nan,nan,2024-03-13,github/buhtz,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-1994220779,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
Use pandas Categorical codes to convert string data into integer format instead of using .replace,"This workaround is effective because pandas Categorical codes provide a way to encode string data as integers, which can be useful when working with machine learning algorithms that require numerical input. This method avoids the FutureWarning associated with downcasting behavior in .replace.",Converting string data to integers,Efficiency,4,4,Observed,workaround,Data Preprocessing,N,nan,nan,nan,nan,nan,2024-03-13,github/jerome-white,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-1994448905,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
Use 'pd.option_context' when dealing with NA values in pandas dataframes to avoid FutureWarning,"The 'pd.option_context' allows for temporary setting of pandas options within a context, which can help in dealing with NA values in dataframes without triggering a FutureWarning. This is a workaround for the deprecated downcasting behavior in 'replace' on a Series.",Handling NA values in pandas,Efficiency,4,5,Observed,workaround,Data Cleaning,N,nan,nan,nan,nan,nan,2024-08-08,github/daviewales,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-2274836151,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
Use map() instead of replace() when needing to change dtypes and handle null values in pandas.,"The map() function allows for more granular control and avoids warnings that can occur with the replace() function. It can handle both dtype conversion and null value management in a single operation, improving code readability and efficiency.","Changing dtypes, handling null values",Efficiency,4,5,Observed,workaround,Data Cleaning,N,nan,nan,nan,nan,nan,2025-01-07,github/SamLovesHoneyWater,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-2574215022,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
"Use 'pandas.set_option(""future_no_silent_downcasting"", True)' to retain object dtype in pandas 3.0 instead of casting to int64","This workaround prevents automatic downcasting in pandas 3.0, which could lead to data loss or incorrect data types. It's a proactive measure to ensure data integrity when upgrading pandas.",Preventing automatic downcasting in pandas,Risk,4,5,Observed,workaround,Data Integrity,N,nan,nan,nan,nan,nan,2025-08-13,github/randomseed42,https://github.com/pandas-dev/pandas/issues/57734#issuecomment-3182838142,repo: pandas-dev/pandas | issue: QST: How to solve pandas (2.2.0) 'FutureWarning: Downcasting behavior in `replace` is deprecated' on a Series? | keyword: workaround
Use the 'bool_fillna_inplace' function as a workaround for replacing NaN/None with False in pandas series.,The pandas library sometimes has issues handling NaN/None values in boolean series. This workaround provides a way to handle these values and ensure the series remains boolean.,Handling NaN/None in boolean series,Efficiency,3,4,Observed,workaround,Data Cleaning,N,nan,nan,nan,nan,nan,2024-11-26,github/joaoe,https://github.com/pandas-dev/pandas/issues/59831#issuecomment-2500704786,repo: pandas-dev/pandas | issue: ENH: Restore the functionality of `.fillna` | keyword: workaround
Use different regex libraries for different tasks when necessary.,Different regex libraries may have different strengths and weaknesses. Using the right one for the task can improve efficiency and results.,Handling regex in different libraries,Efficiency,3,4,Anecdotal,workaround,Code Efficiency,N,nan,nan,nan,nan,nan,2019-07-26,github/TomAugspurger,https://github.com/pandas-dev/pandas/issues/22496#issuecomment-515518510,repo: pandas-dev/pandas | issue: Add support for 'regex' library | keyword: gotcha
Use re2 library with the apply method for faster regular expressions in pandas.,"The apply method is typically slow, but the execution time of re2 is significantly faster, making this combination more efficient for handling regular expressions in pandas.",Speeding up regular expressions in pandas,Efficiency,4,4,Observed,workaround,Data Processing,N,nan,nan,nan,nan,nan,2025-03-04,github/ptth222,https://github.com/pandas-dev/pandas/issues/22496#issuecomment-2698608729,repo: pandas-dev/pandas | issue: Add support for 'regex' library | keyword: gotcha
Use `memory_usage(deep=True)` instead of nbytes for accurate memory usage in Pandas,"The nbytes method may provide misleading information about memory usage, especially for object data types. The `memory_usage(deep=True)` method provides a more accurate estimate.",Estimating memory usage in Pandas,Efficiency,4,5,Observed,workaround,Data Analysis,N,nan,nan,nan,nan,nan,2022-09-07,github/tehunter,https://github.com/pandas-dev/pandas/issues/48438,repo: pandas-dev/pandas | keyword: gotcha | state: open
Use `astype(bytes)` with caution in pandas to avoid data loss,"The pandas library's `astype(bytes)` function can lead to data loss when roundtripping data through pandas dataframes. This is due to the function's default behavior, which may not preserve all data types correctly. It's better to use a more specific function or method that guarantees data preservation.",Data roundtripping in pandas,Risk,3,4,Observed,warning,Data Management,N,nan,nan,nan,nan,nan,2024-04-13,github/WillAyd,https://github.com/pandas-dev/pandas/issues/58205#issuecomment-2053676181,repo: pandas-dev/pandas | issue: BUG: Roundtripping bytes through pandas dataframes leads to data loss | keyword: gotcha
Use `__iter__` to iterate over the index in Series and DataFrames.,Both Series and DataFrames are data structures with a well-defined order. Users expect to be able to iterate over them. Using `__iter__` to iterate over the index aligns with this expectation and the dictionary-analogy of Series.,Iterating over Series and DataFrames,Efficiency,4,5,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2023-07-10,github/rhshadrach,https://github.com/pandas-dev/pandas/issues/14235#issuecomment-1629652870,repo: pandas-dev/pandas | issue: BUG: Python operator 'in' behaves in two different ways on Series object | keyword: gotcha
Use BytesIO and gzip for in-memory data compression when saving to disk is not ideal,"This method allows for data compression without relying on the end user's local environment, making it more portable and less dependent on specific system configurations.",In-memory data compression,Efficiency,4,4,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2018-09-06,github/ZaxR,https://github.com/pandas-dev/pandas/issues/22555#issuecomment-418958420,repo: pandas-dev/pandas | issue: In-memory to_csv compression | keyword: gotcha
Use tuples instead of lists for single labels of a MultiIndex in pandas to avoid confusion.,"In pandas, tuples are used to indicate labels of a MultiIndex. Using a list in this case can cause confusion and errors, as it becomes difficult to distinguish between the different levels of the MultiIndex.",Labeling MultiIndex in pandas,Efficiency,3,4,Observed,workaround,Data Management,N,nan,nan,nan,nan,nan,2018-02-01,github/jorisvandenbossche,https://github.com/pandas-dev/pandas/issues/16943#issuecomment-362248941,repo: pandas-dev/pandas | issue: MultiIndex row indexing with .loc fail with tuple but work with list of indices | keyword: gotcha
Use global constants or environment variables to handle future changes in dependencies.,This approach allows you to prepare your code for future changes in dependencies without duplicating tests or code. It provides flexibility and maintainability as you can adjust the global constant or environment variable when the dependency update is released.,Preparing code for dependency updates,Efficiency,4,4,Observed,workaround,Code Maintenance,N,nan,nan,nan,nan,nan,2022-09-23,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1256713833,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: gotcha
Avoid changing the return type of a documented function in a public API unless necessary.,Changing the return type of a function in a public API can break existing code that depends on the original return type. This can lead to unexpected issues for users of the API and increase maintenance overhead.,Modifying public API functions,Risk,4,5,Observed,rule-of-thumb,Code Maintenance,N,nan,nan,nan,nan,nan,2022-10-28,github/cdcadman,https://github.com/pandas-dev/pandas/pull/48576#issuecomment-1294907916,repo: pandas-dev/pandas | issue: Make pandas/io/sql.py work with sqlalchemy 2.0 | keyword: gotcha
Use breakpoint() instead of ValueError to track down call arguments,"Using breakpoint() allows you to pause program execution at a certain point and inspect variables, which can be more effective than ValueError for debugging. ValueError only provides an error message, while breakpoint() allows you to interactively explore the state of the program.",Debugging complex software,Efficiency,4,4,Observed,workaround,Debugging,N,nan,nan,nan,nan,nan,2021-02-09,github/jbrockmendel,https://github.com/pandas-dev/pandas/issues/39585#issuecomment-775555273,repo: pandas-dev/pandas | issue: Intermittent error fetching value from multi-indexed dataframe | keyword: gotcha
Use a minimally invasive approach to fix bugs by checking for extreme values before scaling.,"This approach avoids introducing unnecessary changes into the codebase, reducing the risk of causing other issues. It also makes the code easier to understand and maintain.",Fixing bugs in numerical calculations,Efficiency,4,4,Observed,workaround,Bug Fixing,N,nan,nan,nan,nan,nan,2024-02-16,github/robert-schmidtke,https://github.com/pandas-dev/pandas/pull/57314#issuecomment-1948430840,repo: pandas-dev/pandas | issue: BUG: Fix near-minimum timestamp handling | keyword: gotcha
Prioritize open-source contributions to reduce overall workload,"Contributing to open-source projects, even if it seems like additional work, can ultimately reduce your overall workload. This is because the improvements you make can be utilized by others, reducing the need for duplicate efforts and fostering a collaborative environment where others can also contribute to your projects.",Open-source project management,Efficiency,4,4,Anecdotal,rule-of-thumb,Collaboration,N,nan,nan,nan,nan,nan,2022-03-01,github/KOLANICH,https://github.com/pandas-dev/pandas/issues/44453#issuecomment-1055636670,repo: pandas-dev/pandas | issue: BLD: remove support for 32 bit | keyword: pro tip
Use 'containerRestarting' instead of 'containerRestarted' as an event reason in Kubernetes.,The 'containerRestarting' event reason provides a more accurate representation of the situation where a container restart fails once or twice before successfully starting. It reduces confusion and overlap with 'containerStarted' and 'containerDied' events.,Managing container events in Kubernetes,Efficiency,4,5,Observed,workaround,Code Management,N,nan,nan,nan,nan,nan,2025-02-05,github/Ritikaa96,https://github.com/kubernetes/kubernetes/pull/126474#issuecomment-2635725354,repo: kubernetes/kubernetes | issue: publish an event when the container is restarted | keyword: best practice
